Contrast,Method,Lipid_Class,Sig.Level,Tentative_Lipid_ID,logFC,t,P.Value,adj.P.Val,B,Sig.Level,MetaboAnalysisDate,ExclusionVersion,AveExpr
MIX,1,PE,NA,"PE(O-38:8),PE(36:1),PE(O-37:1),PE(P-37:0)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(O-38:9),PE(36:2),PE(O-37:2),PE(P-37:1)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,1,PE,NA,"PE(O-40:9),PE(38:2),PE(P-39:1)",NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,PS,NA,PS(38:4),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d16:0/20:0),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d16:0/22:0),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d16:1/17:0),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d16:1/18:0),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d16:1/20:0),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d16:1/20:1),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d16:1/23:0),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d16:1/24:0),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d16:1/24:1),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d16:1/25:0),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d17:1/24:1),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d17:1/26:1),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d18:0/15:0),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d18:0/24:0),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d18:0/24:1),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d18:1/17:0),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d18:1/19:0),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d18:1/24:1(15Z)),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d18:1/25:0),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d18:2/20:1),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d18:2/21:0),NA,NA,NA,NA,NA,NA,12524,E2,NA
MIX,2,SM,NA,SM(d18:2/24:1),NA,NA,NA,NA,NA,NA,12524,E2,NA
