Contrast,Lipid_Class,Tentative_Lipid_ID,logFoldC,AveExpr,t,P.Value,adjP,B,Sig.Level,MetaboAnalysisDate
PFOS,PI,PI(34:5),-0.815,2.15E-16,-2.9819,0.0031418,0.037701,-1.8817,<0.05,110623
PFOS,PI,"PI(34:3),PI(P-35:2)",NA,NA,NA,NA,NA,NA,NA,NA
PFOS,PI,PI(36:4),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,PI,"PI(36:3),PI(P-37:2)",NA,NA,NA,NA,NA,NA,NA,NA
PFOS,PI,PI(38:6),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,PI,PI(38:3),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,PI,PI(40:5),-0.879,2.64E-16,-3.2103,0.0014958,0.01795,-1.2912,<0.05,110623
PFOA,PI,"PI(34:2),PI(O-35:2),PI(P-35:1)",NA,NA,NA,NA,NA,NA,NA,NA
PFOA,PI,PI(34:5),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,PI,"PI(34:3),PI(P-35:2)",NA,NA,NA,NA,NA,NA,NA,NA
PFOA,PI,PI(36:4),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,PI,"PI(36:3),PI(P-37:2)",NA,NA,NA,NA,NA,NA,NA,NA
PFOA,PI,PI(38:6),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,PI,PI(38:3),NA,NA,NA,NA,NA,NA,NA,NA
MIX,PI,PI(40:5),NA,NA,NA,NA,NA,NA,NA,NA
MIX,PI,"PI(34:2),PI(O-35:2),PI(P-35:1)",NA,NA,NA,NA,NA,NA,NA,NA
MIX,PI,PI(34:5),NA,NA,NA,NA,NA,NA,NA,NA
MIX,PI,"PI(34:3),PI(P-35:2)",NA,NA,NA,NA,NA,NA,NA,NA
MIX,PI,PI(36:4),NA,NA,NA,NA,NA,NA,NA,NA
MIX,PI,"PI(36:3),PI(P-37:2)",NA,NA,NA,NA,NA,NA,NA,NA
MIX,PI,PI(38:6),NA,NA,NA,NA,NA,NA,NA,NA
MIX,PI,PI(38:3),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,PG,PG(34:4),-0.578,-2.73E-16,-1.9973,0.04649,0.090866,-3.8231,<0.1,102523
PFHxS,PG,PG(34:4),NA,NA,NA,NA,NA,NA,NA,NA
PFHxA,PG,PG(34:4),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,PG,PG(34:4),NA,NA,NA,NA,NA,NA,NA,NA
MIX,PG,PG(34:4),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,CER,Cer(d18:0/17:0),NA,NA,NA,NA,NA,NA,NA,NA
PFHxS,CER,Cer(d18:0/17:0),-0.77,-1.30E-16,-2.7939,0.0058492,0.052643,-2.3576,<0.1,110523
PFHxA,CER,Cer(d18:0/17:0),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,CER,Cer(d18:0/17:0),NA,NA,NA,NA,NA,NA,NA,NA
MIX,CER,Cer(d18:0/17:0),NA,NA,NA,NA,NA,NA,NA,NA
PFOS,CER,Cer(d18:1/18:0),NA,NA,NA,NA,NA,NA,NA,NA
PFHxS,CER,Cer(d18:1/18:0),-0.677,2.09E-16,-2.3842,0.018298,0.082341,-3.3045,<0.1,110523
PFHxA,CER,Cer(d18:1/18:0),NA,NA,NA,NA,NA,NA,NA,NA
PFOA,CER,Cer(d18:1/18:0),NA,NA,NA,NA,NA,NA,NA,NA
MIX,CER,Cer(d18:1/18:0),NA,NA,NA,NA,NA,NA,NA,NA
